debian_pkg, CPAN_dist, CPAN_vers, N_bugs, N_patches
"libdata-dump-streamer-perl", "Data-Dump-Streamer", "2.31", "0", "1"
"libdata-dumper-concise-perl", "Data-Dumper-Concise", "2.020", "0", "0"
"libdata-dumper-simple-perl", "Data-Dumper-Simple", "0.11", "0", "0"
"libdata-entropy-perl", "Data-Entropy", "0.007", "0", "0"
"libdata-float-perl", "Data-Float", "0.011", "0", "0"
"libdata-flow-perl", "Data-Flow", "1.02", "0", "0"
"libdata-format-html-perl", "Data-Format-HTML", "0.5", "0", "1"
"libdata-formvalidator-constraints-datetime-perl", "Data-FormValidator-Constraints-DateTime", "1.11", "0", "1"
"libdata-formvalidator-perl", "Data-FormValidator", "4.66", "0", "0"
"libdata-hexdumper-perl", "Data-Hexdumper", "2.01", "0", "0"
"libdata-ical-perl", "Data-ICal", "0.16", "1", "0"
"libdata-integer-perl", "Data-Integer", "0.004", "0", "0"
"libdata-javascript-perl", "Data-JavaScript", "1.13", "0", "0"
"libdata-miscellany-perl", "Data-Miscellany", "1.100850", "0", "0"
"libdata-optlist-perl", "Data-OptList", "0.107", "0", "1"
"libdata-pageset-perl", "Data-Pageset", "1.05", "0", "1"
"libdata-parsebinary-perl", "Data-ParseBinary", "not-uploaded", "0", "2"
"libdata-password-perl", "Data-Password", "1.07", "0", "1"
"libdata-peek-perl", "Data-Peek", "0.32", "0", "0"
"libdata-phrasebook-loader-yaml-perl", "Data-Phrasebook-Loader-YAML", "0.09", "0", "1"
"libdata-phrasebook-perl", "Data-Phrasebook", "0.31", "0", "1"
"libdata-random-perl", "Data-Random", "0.05", "0", "4"
"libdata-report-perl", "Data-Report", "0.10", "0", "0"
"libdata-section-perl", "Data-Section", "0.101621", "0", "0"
"libdata-serializer-perl", "Data-Serializer", "0.57", "0", "0"
"libdata-show-perl", "Data-Show", "0.001002", "0", "0"
"libdata-showtable-perl", "Data-ShowTable", "3.3", "0", "2"
"libdata-sorting-perl", "Data-Sorting", "0.9", "0", "2"
"libdata-stag-perl", "Data-Stag", "0.11", "1", "4"
"libdata-stream-bulk-perl", "Data-Stream-Bulk", "0.08", "0", "0"
"libdata-structure-util-perl", "Data-Structure-Util", "0.15", "0", "0"
"libdata-transformer-perl", "Data-Transformer", "0.04", "0", "0"
"libdata-treedumper-perl", "Data-TreeDumper", "0.37", "0", "3"
"libdata-treedumper-renderer-dhtml-perl", "Data-TreeDumper-Renderer-DHTML", "0.09", "0", "2"
"libdata-types-perl", "Data-Types", "0.08", "0", "0"
"libdata-uuid-libuuid-perl", "Data-UUID-LibUUID", "0.05", "0", "0"
"libdata-validate-email-perl", "Data-Validate-Email", "0.04", "1", "1"
"libdata-validate-ip-perl", "Data-Validate-IP", "0.14", "0", "0"
"libdata-visitor-perl", "Data-Visitor", "0.27", "0", "0"
"libdata-walk-perl", "Data-Walk", "1.00", "1", "1"
"libdate-calc-perl", "Date-Calc", "6.0", "0", "1"
"libdate-calc-xs-perl", "Date-Calc-XS", "not-uploaded", "0", "0"
"libdate-convert-perl", "DateConvert", "0.16", "0", "0"
"libdate-hijri-perl", "Date_Hijri", "0.02", "0", "0"
"libdate-ical-perl", "Date-ICal", "1.72", "0", "0"
"libdate-leapyear-perl", "Date-Leapyear", "1.72", "0", "0"
"libdate-manip-perl", "Date-Manip", "6.23", "5", "1"
"libdate-pcalc-perl", "Date-Pcalc", "6.1", "0", "1"
"libdate-simple-perl", "Date-Simple", "3.03.03", "1", "1"
"libdatetime-astro-sunrise-perl", "DateTime-Astro-Sunrise", "0.01.01", "1", "4"
"libdatetime-event-ical-perl", "DateTime-Event-ICal", "0.10", "0", "1"
"libdatetime-event-recurrence-perl", "DateTime-Event-Recurrence", "0.16", "0", "0"
"libdatetime-event-sunrise-perl", "DateTime-Event-Sunrise", "0.0501", "0", "0"
"libdatetime-format-builder-perl", "DateTime-Format-Builder", "0.8000", "0", "0"
"libdatetime-format-dateparse-perl", "DateTime-Format-DateParse", "0.05", "0", "0"
"libdatetime-format-db2-perl", "DateTime-Format-DB2", "0.05", "0", "0"
"libdatetime-format-dbi-perl", "DateTime-Format-DBI", "0.040", "0", "0"
"libdatetime-format-flexible-perl", "DateTime-Format-Flexible", "0.19", "0", "0"
"libdatetime-format-http-perl", "DateTime-Format-HTTP", "0.40", "0", "0"
"libdatetime-format-ical-perl", "DateTime-Format-ICal", "0.09", "0", "0"
"libdatetime-format-iso8601-perl", "DateTime-Format-ISO8601", "0.06", "0", "0"
"libdatetime-format-mail-perl", "DateTime-Format-Mail", "0.3001", "0", "0"
"libdatetime-format-mysql-perl", "DateTime-Format-MySQL", "0.04", "0", "0"
"libdatetime-format-natural-perl", "DateTime-Format-Natural", "0.95", "0", "1"
"libdatetime-format-oracle-perl", "DateTime-Format-Oracle", "0.05", "0", "0"
"libdatetime-format-pg-perl", "DateTime-Format-Pg", "0.16005", "0", "0"
"libdatetime-format-sqlite-perl", "DateTime-Format-SQLite", "0.11", "0", "0"
"libdatetime-format-strptime-perl", "DateTime-Format-Strptime", "1.5000", "0", "0"
"libdatetime-format-w3cdtf-perl", "DateTime-Format-W3CDTF", "0.06", "0", "0"
"libdatetime-locale-perl", "DateTime-Locale", "0.45", "0", "0"
"libdatetime-perl", "DateTime", "0.7000", "0", "0"
"libdatetime-set-perl", "DateTime-Set", "0.30", "0", "0"
"libdatetime-timezone-perl", "DateTime-TimeZone", "1.34", "1", "0"
"libdatetimex-easy-perl", "DateTimeX-Easy", "0.089", "0", "0"
"libdb-file-lock-perl", "DB_File-Lock", "0.05", "0", "1"
"libdbd-csv-perl", "DBD-CSV", "0.3100", "0", "1"
"libdbd-excel-perl", "DBD-Excel", "0.06", "0", "2"
"libdbd-mock-perl", "DBD-Mock", "1.39", "0", "0"
"libdbd-mysql-perl", "DBD-mysql", "4.019", "2", "2"
"libdbd-odbc-perl", "DBD-ODBC", "1.29", "0", "1"
"libdbd-oracle-perl", "DBD-Oracle", "1.28", "0", "1"
"libdbd-pg-perl", "DBD-Pg", "2.18.1", "0", "2"
"libdbd-sqlite2-perl", "DBD-SQLite2", "0.33", "0", "1"
"libdbd-sqlite3-perl", "DBD-SQLite", "1.31", "1", "2"
"libdbd-xbase-perl", "DBD-XBase", "0.241", "0", "4"
"libdbi-perl", "DBI", "1.616", "5", "3"
"libdbicx-testdatabase-perl", "DBICx-TestDatabase", "0.04", "0", "0"
"libdbix-abstract-perl", "DBIx-Abstract", "1.006", "0", "3"
"libdbix-class-candy-perl", "DBIx-Class-Candy", "0.002000", "0", "0"
"libdbix-class-cursor-cached-perl", "DBIx-Class-Cursor-Cached", "1.001001", "0", "0"
"libdbix-class-datetime-epoch-perl", "DBIx-Class-DateTime-Epoch", "0.07", "0", "0"
"libdbix-class-deploymenthandler-perl", "DBIx-Class-DeploymentHandler", "not-uploaded", "0", "0"
"libdbix-class-dynamicdefault-perl", "DBIx-Class-DynamicDefault", "0.03", "0", "0"
"libdbix-class-encodedcolumn-perl", "DBIx-Class-EncodedColumn", "0.00011", "0", "2"
"libdbix-class-fixtures-perl", "DBIx-Class-Fixtures", "not-uploaded", "0", "0"
"libdbix-class-helpers-perl", "DBIx-Class-Helpers", "not-uploaded", "0", "0"
"libdbix-class-inflatecolumn-ip-perl", "DBIx-Class-InflateColumn-IP", "0.02001", "0", "0"
"libdbix-class-introspectablem2m-perl", "DBIx-Class-IntrospectableM2M", "0.001001", "0", "0"
"libdbix-class-perl", "DBIx-Class", "0.08127", "0", "2"
"libdbix-class-resultset-recursiveupdate-perl", "DBIx-Class-ResultSet-RecursiveUpdate", "not-uploaded", "0", "0"
"libdbix-class-schema-loader-perl", "DBIx-Class-Schema-Loader", "0.07010", "0", "0"
"libdbix-class-timestamp-perl", "DBIx-Class-TimeStamp", "0.12", "0", "0"
"libdbix-contextualfetch-perl", "DBIx-ContextualFetch", "1.03", "0", "0"
"libdbix-oo-perl", "DBIx-OO", "0.0.9", "0", "1"
"libdbix-password-perl", "DBIx-Password", "1.9", "0", "2"
"libdbix-recordset-perl", "DBIx-Recordset", "0.26", "0", "6"
"libdbix-safe-perl", "DBIx-Safe", "1.2.5", "0", "0"
"libdbix-searchbuilder-perl", "DBIx-SearchBuilder", "1.59", "1", "1"
"libdbix-sequence-perl", "DBIx-Sequence", "1.5", "1", "0"
"libdbix-simple-perl", "DBIx-Simple", "1.32", "0", "0"
"libdbix-xml-rdb-perl", "DBIx-XML_RDB", "0.05", "0", "0"
"libdbix-xmlmessage-perl", "DBIx-XMLMessage", "0.05", "0", "0"
"libdbm-deep-perl", "DBM-Deep", "2.0002", "0", "1"
"libdebug-client-perl", "Debug-Client", "0.11", "0", "1"
"libdebug-trace-perl", "Debug-Trace", "0.04", "0", "0"
"libdevel-argnames-perl", "Devel-ArgNames", "0.03", "0", "0"
"libdevel-backtrace-perl", "Devel-Backtrace", "0.12", "0", "0"
"libdevel-bt-perl", "Devel-bt", "0.05", "1", "0"
"libdevel-caller-ignorenamespaces-perl", "Devel-Caller-IgnoreNamespaces", "1.0", "0", "0"
"libdevel-caller-perl", "Devel-Caller", "2.05", "0", "1"
"libdevel-calltrace-perl", "Devel-CallTrace", "1.2", "0", "0"
"libdevel-checklib-perl", "Devel-CheckLib", "0.93", "0", "0"
"libdevel-cover-perl", "Devel-Cover", "0.77", "0", "4"
"libdevel-cycle-perl", "Devel-Cycle", "1.11", "0", "0"
"libdevel-declare-perl", "Devel-Declare", "0.006004", "0", "0"
"libdevel-dprof-perl", "Devel-DProf", "20110228.00", "0", "0"
"libdevel-dumpvar-perl", "Devel-Dumpvar", "0.04", "1", "0"
"libdevel-ebug-perl", "Devel-ebug", "0.49", "0", "2"
"libdevel-findref-perl", "Devel-FindRef", "1.422", "0", "0"
"libdevel-gdb-perl", "Devel-GDB", "2.02", "0", "1"
"libdevel-globaldestruction-perl", "Devel-GlobalDestruction", "0.03", "0", "0"
"libdevel-leak-perl", "Devel-Leak", "0.03", "0", "0"
"libdevel-lexalias-perl", "Devel-LexAlias", "0.04", "1", "0"
"libdevel-nytprof-perl", "Devel-NYTProf", "4.06", "0", "2"
"libdevel-partialdump-perl", "Devel-PartialDump", "0.15", "0", "0"
"libdevel-patchperl-perl", "Devel-PatchPerl", "0.36", "0", "0"
"libdevel-profile-perl", "Devel-Profile", "1.05", "0", "0"
"libdevel-ptkdb-perl", "Devel-ptkdb", "1.1091", "0", "1"
"libdevel-refactor-perl", "Devel-Refactor", "0.05", "0", "0"
"libdevel-refcount-perl", "Devel-Refcount", "0.09", "0", "0"
"libdevel-repl-perl", "Devel-REPL", "1.003012", "0", "2"
"libdevel-simpletrace-perl", "Devel-SimpleTrace", "0.08", "0", "0"
"libdevel-size-perl", "Devel-Size", "0.77", "0", "1"
"libdevel-stacktrace-ashtml-perl", "Devel-StackTrace-AsHTML", "0.11", "0", "0"
"libdevel-stacktrace-perl", "Devel-StackTrace", "1.2700", "0", "0"
"libdevel-trace-perl", "Devel-Trace", "not-uploaded", "0", "1"
"libdevice-cdio-perl", "Device-Cdio", "0.2.4", "1", "7"
"libdevice-serialport-perl", "Device-SerialPort", "1.04", "0", "0"
"libdevice-usb-perl", "Device-USB", "0.35", "0", "3"
"libdigest-bubblebabble-perl", "Digest-BubbleBabble", "0.02", "0", "0"
"libdigest-crc-perl", "Digest-CRC", "0.16", "0", "0"
"libdigest-hmac-perl", "Digest-HMAC", "1.02", "0", "0"
"libdigest-jhash-perl", "Digest-JHash", "0.06", "0", "0"
"libdigest-md2-perl", "Digest-MD2", "2.03", "0", "0"
"libdigest-md4-perl", "Digest-MD4", "1.5.dfsg", "0", "1"
"libdigest-md5-file-perl", "Digest-MD5-File", "0.07", "0", "0"
"libdigest-md6-perl", "Digest-MD6", "not-uploaded", "0", "0"
"libdigest-perl", "Digest", "1.16", "0", "0"
"libdigest-sha-perl", "Digest-SHA", "5.62", "0", "0"
"libdigest-sha1-perl", "Digest-SHA1", "2.13", "2", "0"
"libdir-purge-perl", "Dir-Purge", "1.02", "0", "0"
"libdir-self-perl", "Dir-Self", "0.10", "0", "0"
"libdirectory-scratch-perl", "Directory-Scratch", "0.14", "0", "0"
"libdist-zilla-perl", "Dist-Zilla", "4.200006", "0", "0"
"libdist-zilla-plugin-changelogfromgit-perl", "Dist-Zilla-Plugin-ChangelogFromGit", "0.002", "0", "0"
"libdist-zilla-plugin-git-perl", "Dist-Zilla-Plugin-Git", "1.110500", "0", "0"
"libdist-zilla-plugin-podspellingtests-perl", "Dist-Zilla-Plugin-PodSpellingTests", "1.103491", "0", "0"
"libdist-zilla-plugin-podweaver-perl", "Dist-Zilla-Plugin-PodWeaver", "3.101641", "0", "0"
"libdist-zilla-plugin-prepender-perl", "Dist-Zilla-Plugin-Prepender", "1.103470", "0", "0"
"libdist-zilla-plugin-run-perl", "Dist-Zilla-Plugin-Run", "0.005", "0", "2"
"libdist-zilla-plugins-cjm-perl", "Dist-Zilla-Plugins-CJM", "3.05", "0", "0"
"libdpkg-log-perl", "DPKG-Log", "1.20", "0", "1"
"libdublincore-record-perl", "DublinCore-Record", "0.03", "0", "0"
"libelixirfm-perl", "http://qa.debian.org/watch/sf.php/elixir-fm/ElixirFM-1.1.976-Perl.tar.gz", "1.1.976", "0", "0"
"libemail-abstract-perl", "Email-Abstract", "3.004", "0", "0"
"libemail-address-perl", "Email-Address", "1.892", "1", "1"
"libemail-date-format-perl", "Email-Date-Format", "1.002", "0", "0"
"libemail-date-perl", "Email-Date", "1.103", "0", "0"
"libemail-filter-perl", "Email-Filter", "1.032", "0", "0"
"libemail-folder-perl", "Email-Folder", "0.855", "0", "0"
"libemail-localdelivery-perl", "Email-LocalDelivery", "0.217", "0", "1"
"libemail-messageid-perl", "Email-MessageID", "1.402", "0", "0"
"libemail-mime-contenttype-perl", "Email-MIME-ContentType", "1.014", "0", "0"
"libemail-mime-createhtml-perl", "Email-MIME-CreateHTML", "1.030", "0", "0"
"libemail-mime-encodings-perl", "Email-MIME-Encodings", "1.313", "0", "0"
"libemail-mime-perl", "Email-MIME", "1.907", "0", "0"
"libemail-outlook-message-perl", "Email-Outlook-Message", "0.910", "0", "0"
"libemail-received-perl", "Email-Received", "1.00", "0", "0"
"libemail-send-io-perl", "Email-Send-IO", "2.200", "1", "0"
"libemail-send-perl", "Email-Send", "2.198", "0", "2"
"libemail-sender-perl", "Email-Sender", "0.110001", "0", "0"
"libemail-sender-transport-smtp-tls-perl", "Email-Sender-Transport-SMTP-TLS", "0.07", "0", "0"
"libemail-simple-perl", "Email-Simple", "2.100", "1", "0"
"libemail-thread-perl", "Email-Thread", "0.711", "0", "0"
"libemail-valid-loose-perl", "Email-Valid-Loose", "0.05", "0", "0"
"libemail-valid-perl", "Email-Valid", "0.184", "0", "1"
"libembperl-perl", "Embperl", "2.3.0", "1", "10"
"libencode-arabic-perl", "http://qa.debian.org/watch/sf.php/encode-arabic/Encode-Arabic-1.9.tar.gz", "1.9", "0", "1"
"libencode-detect-perl", "Encode-Detect", "1.01", "0", "0"
"libencode-hanextra-perl", "Encode-HanExtra", "0.23", "0", "1"
"libencode-imaputf7-perl", "Encode-IMAPUTF7", "1.05", "0", "0"
"libencode-jis2k-perl", "Encode-JIS2K", "0.02", "0", "0"
"libencode-locale-perl", "Encode-Locale", "1.02", "0", "1"
"libencode-perl", "Encode", "2.42", "0", "1"
"libend-perl", "End", "2009040201", "0", "0"
"libenv-path-perl", "Env-Path", "0.18", "0", "0"
"libenv-ps1-perl", "Env-PS1", "0.06", "0", "0"
"libenv-sanctify-perl", "Env-Sanctify", "1.02", "0", "0"
"libev-perl", "EV", "not-uploaded", "0", "1"
"libeval-closure-perl", "Eval-Closure", "0.05", "0", "0"
"libevent-perl", "Event", "1.15", "0", "1"
"libevent-rpc-perl", "Event-RPC", "1.01", "0", "2"
"libexception-class-dbi-perl", "Exception-Class-DBI", "1.00", "0", "0"
"libexception-class-perl", "Exception-Class", "1.31", "0", "0"
"libexception-class-trycatch-perl", "Exception-Class-TryCatch", "1.12", "0", "0"
"libexception-handler-perl", "Exception-Handler", "1.004", "0", "0"
"libexpect-simple-perl", "Expect-Simple", "0.04", "2", "0"
"libexporter-lite-perl", "Exporter-Lite", "0.02", "0", "0"
"libexporter-renaming-perl", "Exporter-Renaming", "1.19", "0", "0"
"libexporter-tidy-perl", "Exporter-Tidy", "0.07", "0", "0"
"libextutils-cbuilder-perl", "ExtUtils-CBuilder", "0.280202", "0", "1"
"libextutils-cchecker-perl", "ExtUtils-CChecker", "0.07", "0", "0"
"libextutils-command-perl", "ExtUtils-Command", "1.17", "0", "0"
"libextutils-depends-perl", "ExtUtils-Depends", "0.304", "0", "0"
"libextutils-f77-perl", "ExtUtils-F77", "1.17", "0", "0"
"libextutils-install-perl", "ExtUtils-Install", "1.54", "2", "0"
"libextutils-libbuilder-perl", "ExtUtils-LibBuilder", "0.04", "0", "0"
"libextutils-parsexs-perl", "ExtUtils-ParseXS", "2.220600", "0", "0"
"libextutils-pkgconfig-perl", "ExtUtils-PkgConfig", "1.12", "0", "0"
"libextutils-xsbuilder-perl", "ExtUtils-XSBuilder", "0.28", "0", "2"
"libextutils-xspp-perl", "ExtUtils-XSpp", "0.1601", "0", "0"
"libfax-hylafax-client-perl", "Fax-Hylafax-Client", "1.02", "0", "0"
"libfcgi-perl", "FCGI", "0.71", "1", "1"
"libfcgi-procmanager-perl", "FCGI-ProcManager", "0.19", "0", "0"
"libfeed-find-perl", "Feed-Find", "0.07", "0", "1"
"libfile-basedir-perl", "File-BaseDir", "0.03", "0", "1"
"libfile-bom-perl", "File-BOM", "0.14", "0", "0"
"libfile-changenotify-perl", "File-ChangeNotify", "0.20", "0", "0"
"libfile-chmod-perl", "File-chmod", "0.32", "0", "0"
"libfile-copy-link-perl", "File-Copy-Link", "0.112", "0", "0"
"libfile-copy-recursive-perl", "File-Copy-Recursive", "0.38", "1", "0"
"libfile-counterfile-perl", "File-CounterFile", "1.04", "0", "0"
"libfile-countlines-perl", "File-CountLines", "0.0.3", "0", "0"
"libfile-desktopentry-perl", "File-DesktopEntry", "0.04", "1", "1"
"libfile-dircompare-perl", "File-DirCompare", "0.6", "0", "0"
"libfile-find-object-perl", "File-Find-Object", "0.2.1", "0", "0"
"libfile-find-object-rule-perl", "File-Find-Object-Rule", "0.0300", "0", "0"
"libfile-find-rule-perl", "File-Find-Rule", "0.32", "1", "1"
"libfile-find-rule-perl-perl", "File-Find-Rule-Perl", "1.10", "0", "1"
"libfile-find-rule-vcs-perl", "File-Find-Rule-VCS", "1.08", "0", "0"
"libfile-finder-perl", "File-Finder", "0.53", "0", "0"
"libfile-flock-perl", "File-Flock", "2008.01", "0", "0"
"libfile-fnmatch-perl", "File-FnMatch", "0.02", "0", "0"
"libfile-fu-perl", "File-Fu", "0.0.7", "0", "2"
"libfile-homedir-perl", "File-HomeDir", "0.97", "0", "0"
"libfile-libmagic-perl", "File-LibMagic", "0.96", "0", "1"
"libfile-listing-perl", "File-Listing", "6.01", "0", "0"
"libfile-localizenewlines-perl", "File-LocalizeNewlines", "1.11", "0", "0"
"libfile-mimeinfo-perl", "File-MimeInfo", "0.15", "4", "0"
"libfile-mmagic-xs-perl", "File-MMagic-XS", "0.09006", "0", "0"
"libfile-modified-perl", "File-Modified", "0.07", "0", "0"
"libfile-next-perl", "File-Next", "1.06", "1", "0"
"libfile-path-expand-perl", "File-Path-Expand", "1.02", "0", "0"
"libfile-path-perl", "File-Path", "2.08", "1", "0"
"libfile-pid-perl", "File-Pid", "1.01", "0", "1"
"libfile-policy-perl", "File-Policy", "1.005", "0", "0"
"libfile-pushd-perl", "File-pushd", "1.00", "0", "0"
"libfile-queue-perl", "File-Queue", "1.01a", "0", "0"
"libfile-read-perl", "File-Read", "0.0801", "0", "0"
"libfile-readbackwards-perl", "File-ReadBackwards", "1.04", "0", "0"
"libfile-remove-perl", "File-Remove", "1.48", "0", "0"
"libfile-scan-perl", "File-Scan", "1.43", "0", "2"
"libfile-sharedir-install-perl", "File-ShareDir-Install", "0.03", "0", "0"
"libfile-sharedir-par-perl", "File-ShareDir-PAR", "0.06", "0", "1"
"libfile-slurp-unicode-perl", "File-Slurp-Unicode", "0.7.1", "0", "0"
"libfile-spec-perl", "PathTools", "3.3300", "0", "0"
"libfile-sync-perl", "File-Sync", "0.09", "0", "0"
"libfile-temp-perl", "File-Temp", "0.22", "1", "0"
"libfile-touch-perl", "File-Touch", "0.08", "0", "0"
"libfile-type-webimages-perl", "File-Type-WebImages", "1.01", "0", "0"
"libfile-userconfig-perl", "File-UserConfig", "0.06", "0", "0"
"libfile-util-perl", "File-Util", "3.27", "0", "0"
"libfile-which-perl", "File-Which", "1.08", "0", "1"
"libfile-wildcard-perl", "File-Wildcard", "0.11", "0", "0"
"libfilehandle-fmode-perl", "FileHandle-Fmode", "0.11", "0", "0"
"libfilehandle-unget-perl", "FileHandle-Unget", "0.1623", "0", "1"
"libfilesys-df-perl", "Filesys-Df", "0.92", "1", "0"
"libfilesys-notify-simple-perl", "Filesys-Notify-Simple", "0.07", "0", "0"
"libfilesys-smbclient-perl", "Filesys-SmbClient", "3.1", "1", "1"
"libfilter-crypto-perl", "Filter-Crypto", "not-uploaded", "0", "0"
"libfilter-eof-perl", "Filter-EOF", "0.04", "0", "0"
"libfilter-template-perl", "Filter-Template", "1.040", "0", "0"
"libfinance-bank-ie-permanenttsb-perl", "Finance-Bank-IE-PermanentTSB", "0.4", "0", "0"
"libfinance-streamer-perl", "unknown", "1.10", "0", "0"
"libfind-lib-perl", "Find-Lib", "1.01", "0", "0"
"libflickr-api-perl", "Flickr-API", "1.01", "0", "1"
"libflickr-upload-perl", "Flickr-Upload", "1.32", "0", "2"
"libfont-afm-perl", "Font-AFM", "1.20", "0", "0"
"libfont-freetype-perl", "Font-FreeType", "0.03", "1", "2"
"libfont-ttf-perl", "Font-TTF", "0.48", "0", "2"
"libforest-perl", "Forest", "0.09", "0", "1"
"libforks-perl", "forks", "0.34", "1", "1"
"libformat-human-bytes-perl", "Format-Human-Bytes", "0.05", "0", "0"
"libformvalidator-simple-perl", "FormValidator-Simple", "0.28", "0", "0"
"libfortune-perl", "Fortune", "0.2", "0", "0"
"libfreezethaw-perl", "FreezeThaw", "0.5001", "0", "1"
"libfrontier-rpc-perl", "Frontier-RPC", "0.07b4", "3", "2"
"libgd-barcode-perl", "GD-Barcode", "1.15", "0", "0"
"libgd-securityimage-perl", "GD-SecurityImage", "1.68", "0", "0"
"libgd-svg-perl", "GD-SVG", "0.33", "0", "0"
"libgearman-client-async-perl", "Gearman-Client-Async", "0.94", "2", "0"
"libgearman-client-perl", "Gearman", "1.11", "1", "2"
"libgeo-coder-googlev3-perl", "Geo-Coder-Googlev3", "not-uploaded", "0", "0"
"libgeo-google-mapobject-perl", "Geo-Google-MapObject", "0.06", "0", "0"
"libgeo-ipfree-perl", "Geo-IPfree", "1.110450", "0", "0"
"libgeo-metar-perl", "Geo-METAR", "1.15", "0", "4"
"libgeo-osm-tiles-perl", "Geo-OSM-Tiles", "0.04", "0", "0"
"libgeography-countries-perl", "Geography-Countries", "2009041301", "0", "0"
"libgeometry-primitive-perl", "Geometry-Primitive", "0.22", "0", "0"
"libgetopt-argvfile-perl", "Getopt-ArgvFile", "1.11", "0", "0"
"libgetopt-declare-perl", "Getopt-Declare", "1.14", "0", "0"
"libgetopt-euclid-perl", "Getopt-Euclid", "0.2.2", "1", "0"
"libgetopt-long-descriptive-perl", "Getopt-Long-Descriptive", "0.090", "0", "0"
"libgetopt-lucid-perl", "Getopt-Lucid", "0.19", "0", "0"
"libgetopt-tabular-perl", "Getopt-Tabular", "0.3", "0", "1"
"libgetopt-usaginator-perl", "Getopt-Usaginator", "0.0012", "0", "0"
"libgit-wrapper-perl", "Git-Wrapper", "0.014", "0", "0"
"libgitalist-perl", "Gitalist", "not-uploaded", "0", "0"
"libglib-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Glib-1.223.tar.gz", "1.223", "0", "5"
"libgnome2-canvas-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-Canvas-1.002.tar.gz", "1.002", "0", "2"
"libgnome2-gconf-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-GConf-1.044.tar.gz", "1.044", "0", "1"
"libgnome2-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-1.042.tar.gz", "1.042", "1", "0"
"libgnome2-vfs-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-VFS-1.081.tar.gz", "1.081", "0", "1"
"libgnome2-wnck-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gnome2-Wnck-0.16.tar.gz", "0.16", "0", "1"
"libgnupg-interface-perl", "GnuPG-Interface", "0.44", "5", "0"
"libgnupg-perl", "GnuPG", "0.17", "0", "0"
"libgoo-canvas-perl", "Goo-Canvas", "0.06", "0", "1"
"libgps-point-perl", "GPS-Point", "0.17", "0", "1"
"libgraph-easy-as-svg-perl", "Graph-Easy-As_svg", "0.23", "0", "0"
"libgraph-easy-perl", "Graph-Easy", "0.70", "1", "0"
"libgraph-readwrite-perl", "Graph-ReadWrite", "2.00", "0", "0"
"libgraph-writer-graphviz-perl", "Graph-Writer-GraphViz", "0.10", "0", "1"
"libgraphics-color-perl", "Graphics-Color", "0.27", "0", "0"
"libgraphics-colornames-www-perl", "Graphics-ColorNames-WWW", "1.12", "0", "0"
"libgraphics-gnuplotif-perl", "Graphics-GnuplotIF", "1.6", "0", "0"
"libgraphics-libplot-perl", "Graphics-Libplot", "2.2.2", "0", "1"
"libgraphics-primitive-driver-cairo-perl", "Graphics-Primitive-Driver-Cairo", "0.43", "0", "1"
"libgraphics-primitive-perl", "Graphics-Primitive", "0.53", "0", "1"
"libgravatar-url-perl", "Gravatar-URL", "1.04", "0", "0"
"libgssapi-perl", "GSSAPI", "0.28", "0", "0"
"libgstreamer-interfaces-perl", "GStreamer-Interfaces", "0.06", "0", "0"
"libgstreamer-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/GStreamer-0.15.tar.gz", "0.15", "0", "6"
"libgtk2-ex-entry-pango-perl", "Gtk2-Ex-Entry-Pango", "0.09", "0", "0"
"libgtk2-ex-podviewer-perl", "Gtk2-Ex-PodViewer", "0.18", "0", "0"
"libgtk2-ex-printdialog-perl", "Gtk2-Ex-PrintDialog", "0.03", "0", "1"
"libgtk2-ex-simple-list-perl", "Gtk2-Ex-Simple-List", "0.50", "1", "0"
"libgtk2-ex-volumebutton-perl", "Gtk2-Ex-VolumeButton", "0.07", "0", "0"
"libgtk2-gladexml-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-GladeXML-1.007.tar.gz", "1.007", "0", "0"
"libgtk2-gladexml-simple-perl", "Gtk2-GladeXML-Simple", "0.32", "0", "0"
"libgtk2-imageview-perl", "Gtk2-ImageView", "0.05", "0", "0"
"libgtk2-mozembed-perl", "Gtk2-MozEmbed", "0.08", "1", "3"
"libgtk2-notify-perl", "Gtk2-Notify", "0.05", "0", "1"
"libgtk2-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-1.223.tar.gz", "1.223", "0", "3"
"libgtk2-sourceview2-perl", "Gtk2-SourceView2", "0.10", "0", "0"
"libgtk2-spell-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-Spell-1.03.tar.gz", "1.03", "0", "1"
"libgtk2-trayicon-perl", "http://qa.debian.org/watch/sf.php/gtk2-perl/Gtk2-TrayIcon-0.06.tar.gz", "0.06", "0", "0"
"libgtk2-traymanager-perl", "Gtk2-TrayManager", "0.05", "0", "0"
"libgtk2-unique-perl", "Gtk2-Unique", "0.05", "0", "1"
